status,challenge,victim,attacker,flag,ts
duplicated,zblog,10.0.72.3:80,wangyihang,ad084c8c3a30aac7419981d02fa4075d,1537064758.04
duplicated,zblog,10.0.71.3:80,wangyihang,2db4553707c6426da78b041f5de4c192,1537064758.07
duplicated,zblog,10.0.73.3:80,wangyihang,37f951acef131afd74a86f50f5b33aab,1537064758.09
duplicated,zblog,10.0.76.3:80,wangyihang,41f67c342a9a4e84237cee7872fe973c,1537064758.14
duplicated,zblog,10.0.75.3:80,wangyihang,674e37006d22309642674b870943fe25,1537064758.16
duplicated,zblog,10.0.74.3:80,wangyihang,d4e0d7b09c23b6e31ab84b6cd93044de,1537064758.17
correct,zblog,10.0.77.3:80,wangyihang,16d4cdb0539a1624d3d7cf43ebe8a5e4,1537064758.18
duplicated,zblog,10.0.78.3:80,wangyihang,9f67b5f887507747c9efacef809b3ec0,1537064758.21
duplicated,zblog,10.0.66.3:80,wangyihang,b03f93b7fc06d6a6db226924f5feee17,1537064868.26
duplicated,zblog,10.0.65.3:80,wangyihang,d47bae743239e1b2068e59945139672d,1537064868.26
duplicated,zblog,10.0.64.3:80,wangyihang,3a4ea86b7acef7aebdcec99ed93e5918,1537064868.28
duplicated,zblog,10.0.68.3:80,wangyihang,bdd1a43dab110e89413040882da9902a,1537064868.29
duplicated,zblog,10.0.69.3:80,wangyihang,f3d8435611fde97031b258b84945012d,1537064868.31
duplicated,zblog,10.0.70.3:80,wangyihang,0a0861247b88583f754a7762375affee,1537064868.32
duplicated,zblog,10.0.71.3:80,wangyihang,2db4553707c6426da78b041f5de4c192,1537064868.33
duplicated,zblog,10.0.72.3:80,wangyihang,ad084c8c3a30aac7419981d02fa4075d,1537064868.35
duplicated,zblog,10.0.74.3:80,wangyihang,d4e0d7b09c23b6e31ab84b6cd93044de,1537064868.36
duplicated,zblog,10.0.73.3:80,wangyihang,37f951acef131afd74a86f50f5b33aab,1537064868.36
duplicated,zblog,10.0.75.3:80,wangyihang,674e37006d22309642674b870943fe25,1537064868.37
duplicated,zblog,10.0.76.3:80,wangyihang,41f67c342a9a4e84237cee7872fe973c,1537064868.4
duplicated,zblog,10.0.77.3:80,wangyihang,16d4cdb0539a1624d3d7cf43ebe8a5e4,1537064868.41
duplicated,zblog,10.0.78.3:80,wangyihang,9f67b5f887507747c9efacef809b3ec0,1537064868.41
duplicated,zblog,10.0.79.3:80,wangyihang,e897caec54293b8cef06a24f9099efc5,1537064868.43
duplicated,zblog,10.0.80.3:80,wangyihang,84cd2911adc1143aaee64039e1876f3f,1537064868.48
duplicated,zblog,10.0.81.3:80,wangyihang,35ebb2050f7cf282d30f77fa73a6769d,1537064868.52
duplicated,zblog,10.0.82.3:80,wangyihang,e3c49d859a33abfffc326f615895eaee,1537064868.54
duplicated,zblog,10.0.84.3:80,wangyihang,665529c3a89b7b3e0dadae4197ad343c,1537064868.59
duplicated,zblog,10.0.83.3:80,wangyihang,ccb55697c80eb22029401e54c834d2f4,1537064868.59
duplicated,zblog,10.0.86.3:80,wangyihang,38e9a0c4b8dad9cac0571a9c281535c5,1537064868.65
duplicated,zblog,10.0.85.3:80,wangyihang,e46aa42beda0e0a87feaa3255d86406c,1537064868.67
duplicated,zblog,10.0.88.3:80,wangyihang,f88108aa5cc26208b2074ccacf9f2072,1537064868.7
duplicated,zblog,10.0.87.3:80,wangyihang,033c1596fd61723bba65d697e0cfcec7,1537064868.73
duplicated,zblog,10.0.90.3:80,wangyihang,640716efe81523aa2eeaf2b414519e1e,1537064868.79
duplicated,zblog,10.0.91.3:80,wangyihang,c624a2d49962c6b961f325de6b1cdd03,1537064868.8
duplicated,zblog,10.0.92.3:80,wangyihang,2ab40a6de86976ce04259d22c22417d2,1537064868.83
duplicated,zblog,10.0.93.3:80,wangyihang,080f881c971e1dee5c7257d7ff1d07f4,1537064868.84
duplicated,zblog,10.0.64.3:80,wangyihang,3a4ea86b7acef7aebdcec99ed93e5918,1537064968.91
duplicated,zblog,10.0.66.3:80,wangyihang,b03f93b7fc06d6a6db226924f5feee17,1537064968.91
duplicated,zblog,10.0.68.3:80,wangyihang,bdd1a43dab110e89413040882da9902a,1537064968.91
duplicated,zblog,10.0.65.3:80,wangyihang,d47bae743239e1b2068e59945139672d,1537064968.92
duplicated,zblog,10.0.71.3:80,wangyihang,2db4553707c6426da78b041f5de4c192,1537064968.94
duplicated,zblog,10.0.74.3:80,wangyihang,d4e0d7b09c23b6e31ab84b6cd93044de,1537064968.96
duplicated,zblog,10.0.73.3:80,wangyihang,37f951acef131afd74a86f50f5b33aab,1537064968.97
duplicated,zblog,10.0.75.3:80,wangyihang,674e37006d22309642674b870943fe25,1537064968.97
duplicated,zblog,10.0.76.3:80,wangyihang,41f67c342a9a4e84237cee7872fe973c,1537064968.97
duplicated,zblog,10.0.78.3:80,wangyihang,9f67b5f887507747c9efacef809b3ec0,1537064968.99
duplicated,zblog,10.0.82.3:80,wangyihang,e3c49d859a33abfffc326f615895eaee,1537064969.02
duplicated,zblog,10.0.85.3:80,wangyihang,e46aa42beda0e0a87feaa3255d86406c,1537064969.05
duplicated,zblog,10.0.86.3:80,wangyihang,38e9a0c4b8dad9cac0571a9c281535c5,1537064969.05
duplicated,zblog,10.0.87.3:80,wangyihang,033c1596fd61723bba65d697e0cfcec7,1537064969.06
duplicated,zblog,10.0.88.3:80,wangyihang,f88108aa5cc26208b2074ccacf9f2072,1537064969.06
duplicated,zblog,10.0.91.3:80,wangyihang,c624a2d49962c6b961f325de6b1cdd03,1537064969.1
duplicated,zblog,10.0.66.3:80,wangyihang,67cbb55cf9d4086423d73bb8532d866c,1537065269.34
duplicated,zblog,10.0.68.3:80,wangyihang,48214e3f2d61e6369fbfc2c3b61cf270,1537065269.35
duplicated,zblog,10.0.64.3:80,wangyihang,14ac87718167c5210c554fa658a5fb3f,1537065269.35
duplicated,zblog,10.0.71.3:80,wangyihang,0d9e23b33bfee480cc1901474a66b093,1537065269.37
duplicated,zblog,10.0.73.3:80,wangyihang,cde31fd2d7bba1a9a1f60f02192f706c,1537065269.4
duplicated,zblog,10.0.74.3:80,wangyihang,edc2a05ae9cb5114e967be7fdc66e7c3,1537065269.4
duplicated,zblog,10.0.75.3:80,wangyihang,3e907eec9854b9e11a56ea380bd7221e,1537065269.4
duplicated,zblog,10.0.76.3:80,wangyihang,5ba85aacfd2f0b1a39ccf2cfba173b1f,1537065269.4
duplicated,zblog,10.0.78.3:80,wangyihang,8dc7bbfc66f962eab7eb54db12407489,1537065269.43
duplicated,zblog,10.0.82.3:80,wangyihang,83e8af2386b551d4f4b84266ea5e2d61,1537065269.45
duplicated,zblog,10.0.86.3:80,wangyihang,17c44c29ecf075571c1d84164b5a73e2,1537065269.48
duplicated,zblog,10.0.85.3:80,wangyihang,a5991dae732febb4b5939ff4efc88fd1,1537065269.48
duplicated,zblog,10.0.87.3:80,wangyihang,45bf2da43bfa2c6138e627c366595466,1537065269.48
duplicated,zblog,10.0.88.3:80,wangyihang,c0612dea02e3cd15f2085919b3077af9,1537065269.5
duplicated,zblog,10.0.91.3:80,wangyihang,d6e4f718f5bf5f668978c191f58f5f2c,1537065269.52
duplicated,zblog,10.0.64.3:80,wangyihang,14ac87718167c5210c554fa658a5fb3f,1537065569.79
duplicated,zblog,10.0.66.3:80,wangyihang,67cbb55cf9d4086423d73bb8532d866c,1537065569.82
duplicated,zblog,10.0.68.3:80,wangyihang,48214e3f2d61e6369fbfc2c3b61cf270,1537065569.83
duplicated,zblog,10.0.73.3:80,wangyihang,cde31fd2d7bba1a9a1f60f02192f706c,1537065569.89
duplicated,zblog,10.0.71.3:80,wangyihang,0d9e23b33bfee480cc1901474a66b093,1537065569.9
duplicated,zblog,10.0.74.3:80,wangyihang,edc2a05ae9cb5114e967be7fdc66e7c3,1537065569.94
duplicated,zblog,10.0.76.3:80,wangyihang,5ba85aacfd2f0b1a39ccf2cfba173b1f,1537065569.96
duplicated,zblog,10.0.75.3:80,wangyihang,3e907eec9854b9e11a56ea380bd7221e,1537065569.97
duplicated,zblog,10.0.78.3:80,wangyihang,8dc7bbfc66f962eab7eb54db12407489,1537065569.98
duplicated,zblog,10.0.82.3:80,wangyihang,83e8af2386b551d4f4b84266ea5e2d61,1537065570.06
duplicated,zblog,10.0.85.3:80,wangyihang,a5991dae732febb4b5939ff4efc88fd1,1537065570.12
duplicated,zblog,10.0.87.3:80,wangyihang,45bf2da43bfa2c6138e627c366595466,1537065570.15
duplicated,zblog,10.0.86.3:80,wangyihang,17c44c29ecf075571c1d84164b5a73e2,1537065570.16
duplicated,zblog,10.0.88.3:80,wangyihang,c0612dea02e3cd15f2085919b3077af9,1537065570.17
duplicated,zblog,10.0.91.3:80,wangyihang,d6e4f718f5bf5f668978c191f58f5f2c,1537065570.24
duplicated,zblog,10.0.64.3:80,wangyihang,4b0609b5b2fe6e0171c9fe507fd1de7c,1537065703.04
duplicated,zblog,10.0.67.3:80,wangyihang,fd958d118c2b39199d47c1dd72abb2ed,1537065703.05
duplicated,zblog,10.0.66.3:80,wangyihang,2e0dc5907eb6d4628bd86c51dbcf3c91,1537065703.14
duplicated,zblog,10.0.65.3:80,wangyihang,935aa099587336c3e84794b2f7bd681e,1537065703.16
duplicated,zblog,10.0.70.3:80,wangyihang,d4f29e3a9dd26dfebc85ffb76a329d2e,1537065703.16
duplicated,zblog,10.0.69.3:80,wangyihang,d2d41c7294c2e608dc1a95a784522962,1537065703.2
duplicated,zblog,10.0.72.3:80,wangyihang,1fc4edaffbdda8b2951d894917c6838a,1537065703.34
duplicated,zblog,10.0.74.3:80,wangyihang,957ecbabb41ac9985f206b8dcdb620f6,1537065703.36
duplicated,zblog,10.0.71.3:80,wangyihang,7cd147d3165336b79e4c071f6d7f6706,1537065703.38
duplicated,zblog,10.0.73.3:80,wangyihang,413cba7c89cf75f86f1b0e13dd0a6c9b,1537065703.41
duplicated,zblog,10.0.68.3:80,wangyihang,2bf4ad48ab1fef3af0705623df3f5874,1537065703.48
duplicated,zblog,10.0.77.3:80,wangyihang,259bd9c7defb7828d9eae3ec1a9d768f,1537065703.49
duplicated,zblog,10.0.75.3:80,wangyihang,f4f57ccfdac2f88e663859c8dace947d,1537065703.52
duplicated,zblog,10.0.80.3:80,wangyihang,986463951a4a00a0cf84662d59be0d99,1537065703.56
duplicated,zblog,10.0.76.3:80,wangyihang,b365c9ea10305331f1a0b0f864f3beb4,1537065703.6
duplicated,zblog,10.0.81.3:80,wangyihang,7001bba16316b56f2b4d92f90b2ebf8b,1537065703.61
duplicated,zblog,10.0.83.3:80,wangyihang,df8f8c2f3457de59637fdab30ffee8f1,1537065703.66
duplicated,zblog,10.0.78.3:80,wangyihang,ccb0c149b8d03c8cdb09c4f9dd029fef,1537065703.68
duplicated,zblog,10.0.79.3:80,wangyihang,7bceb5da9e8a230488b4b492e85ff274,1537065703.7
